20171016-025300 7.640 100.000 3.333 29.880 5.000 1008 2.030 1.015 13.65
20171016-025400 7.675 100.000 3.688 22.410 5.000 1008 2.030 1.015 13.65
20171016-025500 7.674 100.000 4.771 21.940 7.083 1008 2.030 1.100 13.65
20171016-025600 7.708 100.000 4.167 18.930 6.250 1008 2.030 1.015 13.65
20171016-025700 7.742 100.000 3.313 26.130 4.583 1008 2.030 1.015 13.65
20171016-025800 7.708 100.000 3.229 21.520 5.000 1008 2.030 1.015 13.65
20171016-025900 7.742 100.000 4.896 31.240 6.667 1008 2.030 1.100 13.65
20171016-030000 7.742 100.000 4.396 26.360 5.833 1008 2.030 1.015 13.65
20171016-030100 7.708 100.000 3.771 25.420 5.833 1007 2.030 1.015 13.65
20171016-030200 7.674 100.000 4.396 24.680 6.250 1007 2.030 1.015 13.65
20171016-030300 7.742 100.000 4.521 24.830 6.667 1007 2.030 1.015 13.65
20171016-030400 7.606 100.000 4.250 26.570 5.833 1007 2.030 1.015 13.65
20171016-030500 7.606 100.000 4.042 24.790 5.417 1007 2.030 1.015 13.65
20171016-030600 7.640 100.000 5.063 23.360 7.083 1007 2.199 1.015 13.65
20171016-030700 7.640 100.000 4.542 31.670 6.250 1007 2.030 1.015 13.65
20171016-030800 7.708 100.000 3.521 30.430 5.417 1007 2.030 1.015 13.65
20171016-030900 7.606 100.000 4.771 28.650 7.083 1007 2.030 1.015 13.65
20171016-031000 7.708 100.000 4.938 27.150 6.667 1007 2.030 1.015 13.65
20171016-031100 7.606 100.000 4.583 20.890 6.250 1007 2.030 1.015 13.65
20171016-031200 7.640 100.000 3.708 28.310 5.417 1007 2.030 1.015 13.65
20171016-031300 7.674 100.000 4.479 27.800 5.833 1007 2.030 1.100 13.65
20171016-031400 7.640 100.000 4.333 30.070 6.667 1007 2.199 1.015 13.65
20171016-031500 7.572 100.000 3.479 26.290 5.417 1007 2.030 1.015 13.65
20171016-031600 7.606 100.000 4.417 25.040 6.250 1007 2.030 1.015 13.65
20171016-031700 7.640 100.000 3.667 29.770 5.417 1007 2.030 1.015 13.65
20171016-031800 7.640 100.000 3.583 34.390 5.417 1007 2.030 1.015 13.65
20171016-031900 7.640 100.000 2.792 26.690 4.583 1007 2.030 1.015 13.65
20171016-032000 7.606 100.000 4.083 22.110 5.417 1007 2.030 1.015 13.65
20171016-032100 7.640 100.000 3.979 26.450 6.667 1007 2.030 1.015 13.65
20171016-032200 7.641 100.000 4.167 27.480 5.417 1007 2.030 1.015 13.66
20171016-032300 7.641 100.000 5.104 22.640 7.083 1007 2.030 1.015 13.65
20171016-032400 7.607 100.000 5.104 22.400 7.500 1007 2.030 1.015 13.65
20171016-032500 7.640 100.000 5.583 24.690 7.917 1007 2.030 1.015 13.65
20171016-032600 7.606 100.000 4.708 25.220 7.917 1007 2.199 1.015 13.66
20171016-032700 7.606 100.000 5.563 28.120 7.917 1006 2.030 1.015 13.65
20171016-032800 7.640 100.000 4.521 28.460 6.250 1006 2.030 1.015 13.65
20171016-032900 7.708 100.000 4.313 24.880 6.250 1007 2.030 1.015 13.66
20171016-033000 7.640 100.000 4.646 23.460 6.250 1006 2.030 1.015 13.65
20171016-033100 7.640 100.000 4.063 29.320 5.833 1006 2.030 1.015 13.65
20171016-033200 7.674 100.000 4.542 22.990 6.250 1006 2.030 1.015 13.66
20171016-033300 7.640 100.000 3.792 28.480 5.417 1006 2.030 1.015 13.65
20171016-033400 7.674 100.000 4.396 19.520 6.250 1007 2.030 1.015 13.65
20171016-033500 7.674 100.000 3.750 30.330 5.000 1007 2.199 1.015 13.65
20171016-033600 7.674 100.000 4.208 22.790 5.833 1006 2.030 1.015 13.65
20171016-033700 7.675 100.000 4.542 24.910 7.083 1006 2.030 1.015 13.65
20171016-033800 7.607 100.000 3.542 22.090 5.000 1006 2.030 1.015 13.65
20171016-033900 7.607 100.000 4.667 22.060 6.250 1006 2.030 1.015 13.66
20171016-034000 7.675 100.000 4.604 20.820 6.250 1006 2.199 1.015 13.66
20171016-034100 7.607 100.000 4.083 25.650 5.833 1006 2.030 1.100 13.65
20171016-034200 7.674 100.000 4.479 17.730 5.833 1006 2.030 1.015 13.65
20171016-034300 7.607 100.000 5.167 23.420 7.917 1006 2.030 1.015 13.65
20171016-034400 7.574 100.000 4.083 28.530 5.833 1005 2.030 1.015 13.65
20171016-034500 7.608 100.000 4.896 32.020 7.917 1005 2.030 1.015 13.65
20171016-034600 7.675 100.000 3.854 26.200 5.833 1005 2.030 1.015 13.65
20171016-034700 7.676 100.000 5.875 23.950 8.750 1005 2.030 1.015 13.66
20171016-034800 7.574 100.000 5.708 23.460 8.330 1005 2.030 1.015 13.65
20171016-034900 7.676 100.000 5.625 38.180 8.330 1005 2.030 1.015 13.65
20171016-035000 7.574 100.000 3.938 22.970 5.833 1005 2.030 1.100 13.65
20171016-035100 7.675 100.000 3.583 31.500 6.250 1005 2.030 1.015 13.65
20171016-035200 7.540 100.000 5.167 28.890 6.667 1005 2.030 1.015 13.66
20171016-035300 7.607 100.000 3.896 33.410 5.833 1005 2.030 1.015 13.65
20171016-035400 7.607 100.000 5.333 19.020 8.330 1005 2.030 1.015 13.65
20171016-035500 7.709 100.000 3.854 29.580 5.000 1005 2.030 1.015 13.66
20171016-035600 7.607 100.000 4.250 30.490 5.833 1005 2.030 1.015 13.66
20171016-035700 7.708 100.000 5.188 26.240 7.500 1005 2.199 1.015 13.66
20171016-035800 7.640 100.000 4.833 28.440 7.083 1005 2.030 1.015 13.65
