20161205-045204 6.0625 -60 43
20161205-045428 6.0625 -60 38
20161205-045653 6.0625 -60 43
20161205-045917 6.0625 -60 43
20161205-050140 6.0625 -60 43
20161205-050403 6.0625 -60 43
20161205-050627 6.0625 -60 41
20161205-050850 6.0625 -60 43
20161205-051114 6.0625 -60 45
20161205-051337 6.0625 -60 42
20161205-051600 6.0625 -60 42
20161205-051824 6.0625 -60 41
20161205-052047 6.0625 -60 40
20161205-052311 6.0625 -60 40
20161205-052534 6.0625 -60 45
20161205-052757 6.0625 -59 42
20161205-053021 6.0625 -60 42
20161205-053244 6.0625 -60 42
20161205-053508 6.0625 -60 39
20161205-053731 6.0625 -60 42
20161205-053955 6.0625 -60 41
20161205-054218 6.0625 -60 43
20161205-054442 6.0625 -60 42
20161205-054705 6.0625 -60 40
20161205-055204 6.0625 -60 37
20161205-055427 6.0625 -60 35
20161205-055650 6.0625 -60 31
20161205-055915 6.0625 -60 36
20161205-060138 6.0625 -60 37
20161205-060402 6.0625 -60 35
20161205-060625 6.0625 -60 36
20161205-060848 6.0625 -60 38
20161205-061112 6.0625 -60 38
20161205-061335 6.0625 -60 36
20161205-061559 6.0625 -60 33
20161205-061822 6.0625 -60 34
20161205-062046 6.0625 -60 37
20161205-062309 6.0625 -60 39
20161205-062532 6.0625 -60 40
20161205-063031 6.0625 -60 35
20161205-063254 6.0625 -60 37
20161205-063518 6.0625 -52 30
20161205-063753 6.0625 -60 37
20161205-064016 6.0625 -60 37
20161205-064240 6.0625 -60 35
20161205-064503 6.0625 -60 38
20161205-064950 6.0625 -60 38
20161205-065213 6.0625 -60 37
20161205-065437 6.0625 -60 37
20161205-065700 6.0625 -60 35
20161205-065924 6.0625 -60 37
20161205-070147 6.0625 -60 37
20161205-070410 6.0625 -59 36
20161205-070634 6.0625 -60 39
20161205-070857 6.0625 -59 37
20161205-071121 6.0625 -59 33
20161205-071344 6.0625 -60 36
20161205-071831 6.0625 -60 35
20161205-072054 6.0625 -60 38
20161205-072318 6.0625 -60 39
20161205-072541 6.0625 -60 38
20161205-072805 6.0625 -59 39
20161205-073028 6.0625 -60 35
20161205-073251 6.0625 -60 36
20161205-073515 6.0625 -60 34
20161205-073738 6.0625 -60 36
20161205-074002 6.0625 -60 37
20161205-074225 6.0625 -60 38
20161205-074712 6.0625 -60 36
20161205-074935 6.0625 -60 37
20161205-075159 6.0625 -60 39
20161205-075422 6.0625 -61 39
20161205-075645 6.0625 -60 38
20161205-075909 6.0625 -60 39
20161205-080133 6.0625 -60 39
20161205-080357 6.0625 -60 39
20161205-080620 6.0625 -60 36
20161205-081119 6.0625 -60 38
20161205-081343 6.0625 -60 37
20161205-081606 6.0625 -60 37
20161205-081830 6.0625 -60 39
20161205-082054 6.0625 -60 40
20161205-082317 6.0625 -60 40
20161205-082540 6.0625 -59 39
20161205-082804 6.0625 -60 39
20161205-083027 6.0625 -60 36
20161205-083251 6.0625 -60 38
20161205-083514 6.0625 -60 39
20161205-083738 6.0625 -60 38
20161205-084001 6.0625 -60 38
20161205-084224 6.0625 -60 40
20161205-084448 6.0625 -60 39
20161205-084711 6.0625 -60 37
20161205-084935 6.0625 -60 36
20161205-085158 6.0625 -60 37
20161205-085421 6.0625 -60 37
20161205-085920 6.0625 -59 38
20161205-090143 6.0625 -60 39
20161205-090407 6.0625 -59 38
20161205-090630 6.0625 -60 39
20161205-091117 6.0625 -60 37
20161205-091341 6.0625 -60 37
20161205-091604 6.0625 -59 37
20161205-091828 6.0625 -60 38
20161205-092051 6.0625 -60 40
20161205-092314 6.0625 -60 37
20161205-092538 6.0625 -60 37
20161205-092801 6.0625 -60 37
20161205-093025 6.0625 -61 36
20161205-093248 6.0625 -60 38
20161205-093512 6.0625 -60 38
20161205-093735 6.0625 -60 37
20161205-093959 6.0625 -60 37
20161205-094445 6.0625 -60 38
20161205-094709 6.0625 -60 39
20161205-094932 6.0625 -61 37
20161205-095156 6.0625 -60 38
20161205-095419 6.0625 -60 40
20161205-095643 6.0625 -60 39
20161205-095906 6.0625 -60 39
20161205-100129 6.0625 -60 39
20161205-100353 6.0625 -60 39
20161205-100616 6.0625 -60 40
20161205-100839 6.0625 -60 38
20161205-101103 6.0625 -54 40
20161205-101327 6.0625 -60 39
20161205-101550 6.0625 -59 38
20161205-101814 6.0625 -60 38
20161205-102037 6.0625 -59 38
20161205-102300 6.0625 -61 37
20161205-102524 6.0625 -61 39
20161205-102747 6.0625 -60 39
20161205-103011 6.0625 -60 40
20161205-103234 6.0625 -60 41
20161205-103457 6.0625 -60 38
20161205-103720 6.0625 -60 40
20161205-103944 6.0625 -61 40
20161205-104207 6.0625 -60 40
20161205-104431 6.0625 -60 43
20161205-104654 6.0625 -61 41
20161205-104917 6.0625 -60 41
20161205-105141 6.0625 -60 41
20161205-105404 6.0625 -60 39
20161205-105903 6.0625 -60 41
20161205-110126 6.0625 -61 41
20161205-110349 6.0625 -61 38
20161205-110613 6.0625 -61 40
20161205-111111 6.0625 -61 39
20161205-111334 6.0625 -60 38
20161205-111558 6.0625 -60 41
20161205-111821 6.0625 -61 40
20161205-112320 6.0625 -60 39
20161205-112543 6.0625 -60 39
20161205-112806 6.0625 -60 42
20161205-113030 6.0625 -60 40
20161205-113528 6.0625 -60 39
20161205-113751 6.0625 -60 39
20161205-114015 6.0625 -61 38
20161205-114238 6.0625 -61 39
20161205-114501 6.0625 -61 39
20161205-114725 6.0625 -61 41
20161205-114948 6.0625 -61 38
20161205-115212 6.0625 -60 37
20161205-115658 6.0625 -61 37
20161205-115922 6.0625 -60 39
20161205-120145 6.0625 -60 37
20161205-120408 6.0625 -60 38
20161205-120632 6.0625 -60 39
20161205-120855 6.0625 -60 41
20161205-121118 6.0625 -60 40
20161205-121342 6.0625 -60 40
20161205-121605 6.0625 -60 42
20161205-121829 6.0625 -60 41
20161205-122052 6.0 -61 39
20161205-122315 6.0 -61 39
20161205-122539 6.0625 -60 40
20161205-123037 6.0625 -60 38
20161205-123300 6.0625 -60 38
20161205-123524 6.0625 -60 39
20161205-123747 6.0625 -60 40
20161205-124013 6.0625 -60 38
20161205-124236 6.0625 -60 40
20161205-124459 6.0625 -60 33
20161205-124723 6.0625 -59 30
20161205-124946 6.0625 -59 34
20161205-125209 6.0625 -59 33
20161205-125433 6.0625 -59 32
20161205-125656 6.0625 -59 33
20161205-125920 6.0625 -59 32
20161205-130143 6.0625 -59 30
20161205-130406 6.0625 -59 34
20161205-130630 6.0625 -59 29
20161205-130853 6.0625 -59 33
20161205-131116 6.0 -59 35
20161205-131340 6.0625 -59 31
20161205-131603 6.0625 -59 32
20161205-131827 6.0625 -60 36
20161205-132050 6.0 -61 37
20161205-132313 6.0625 -60 34
20161205-132537 6.0625 -60 35
20161205-132800 6.0625 -60 38
20161205-133024 6.0625 -59 40
20161205-133247 6.0625 -60 41
20161205-133510 6.0625 -60 44
20161205-133734 6.0 -60 35
20161205-133957 6.0625 -60 39
20161205-134221 6.0625 -61 44
20161205-134444 6.0625 -60 41
20161205-134707 6.0 -60 39
20161205-134931 6.0 -60 40
20161205-135154 6.0 -60 48
20161205-135417 6.0625 -60 39
20161205-135641 6.0625 -60 36
20161205-135904 6.0625 -60 39
20161205-140128 6.0625 -60 42
20161205-140351 6.0625 -60 44
20161205-140615 6.0 -60 28
20161205-140850 6.0625 -60 45
20161205-141113 6.0625 -60 46
20161205-141337 6.0625 -60 30
20161205-141600 6.0 -60 30
20161205-141823 6.0625 -60 27
20161205-142047 6.0 -61 43
20161205-142310 6.0625 -60 40
20161205-142534 6.0625 -60 39
20161205-142757 6.0 -60 35
20161205-143021 6.0 -60 34
20161205-143244 6.0 -60 31
20161205-143507 6.0 -60 30
20161205-143731 6.0625 -59 31
20161205-143954 6.0625 -60 39
20161205-144218 6.0 -60 32
20161205-144441 6.0 -60 31
